Order,Latin_binomial,Island,Ancestor_or_closest_mainland_relative,Size_ratio,Body_mass_mainland_taxon,Body_mass_island_taxon,Log_Size_ratio,Magnitude_body_size_change,Direction_body_size_change,IUCN_Category,Source_Body_mass_and_size_ratio,Source_Ancestor_or_closest_mainland_relative,Endemism,Notes
Eulipotyphla,Crocidura_grayi,Catanduanes: Luzon: Mindoro,Crocidura_nigripes,0.78030303,13.2,10.3,-0.107736707,0.107736707,dwarfism,LC,Faurby et al. 2020,Esselstyn et al. 2019,yes,
Eulipotyphla,Crocidura_hikmiya,Sri Lanka,Crocidura_attenuata,0.538461538,14.3,7.7,-0.268845312,0.268845312,dwarfism,EN,Faurby et al. 2020,Meegaskumbura et al. 2007,yes,
Eulipotyphla,Crocidura_hispida,Andaman: Nicobar,,,,10.9,,,,VU,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_hutanis,Sumatra,,,,11,,,,LC,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_jenkinsi,South Andaman,,,,12.6,,,,CR,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_lea,Sulawesi,Crocidura_maxi,1.137931034,5.8,6.6,0.056115942,0.056115942,gigantism,LC,Faurby et al. 2020,Esselstyn et al. 2019,yes,
Eulipotyphla,Crocidura_lepidura,Sumatra,Crocidura_fuliginosa,1.541666667,12,18.5,0.187990482,0.187990482,gigantism,LC,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Eulipotyphla,Crocidura_leucodon,,,1.0233,10,10.233,0.010002974,0.010002974,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Crocidura_levicula,Sulawesi,Crocidura_maxi,0.310344828,5.8,1.8,-0.508155488,0.508155488,dwarfism,LC,Faurby et al. 2020,Esselstyn et al. 2019,yes,
Eulipotyphla,Crocidura_malayana,,,0.849,8.9,7.5561,-0.07109231,0.07109231,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Crocidura_maxi,Java,,,,5.8,,,,LC,Demos et al. 2017,,yes,
Eulipotyphla,Crocidura_miya,Sri Lanka,Crocidura_attenuata,0.713286713,14.3,10.2,-0.146735866,0.146735866,dwarfism,EN,Faurby et al. 2020,Meegaskumbura et al. 2007,yes,
Eulipotyphla,Crocidura_monticola,Java,,,,4.2,,,,LC,Demos et al. 2017,,no,
Eulipotyphla,Crocidura_negrina,Negros,Crocidura_nigripes,1.015151515,13.2,13.4,0.006530867,0.006530867,gigantism,EN,Faurby et al. 2020,Esselstyn et al. 2019,yes,
Eulipotyphla,Crocidura_nicobarica,Great Nicobar,,,,28.9,,,,CR,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_nigripes,Sulawesi,,,,13.2,,,,LC,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_orientalis,Java,Crocidura_fuliginosa,0.941666667,12,11.3,-0.026102803,0.026102803,dwarfism,LC,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Eulipotyphla,Crocidura_orii,Amami Oshima: Tokunoshima: Kakeromajima ,,,,14.4,,,,EN,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_palawanensis,Palawan,Crocidura_nigripes,1.037878788,13.2,13.7,0.016146636,0.016146636,gigantism,LC,Hutterer et al. 2018,Esselstyn et al. 2019,yes,
Eulipotyphla,Crocidura_paradoxura,Sumatra,,,,8.2,,,,LC,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_rhoditis,Sulawesi,Crocidura_maxi,2.413793103,5.8,14,0.382700042,0.382700042,gigantism,LC,Faurby et al. 2020,Esselstyn et al. 2019,yes,
Eulipotyphla,Crocidura_russula,,,1.123,9.46,10.62358,0.050379756,0.050379756,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Crocidura_shantungensis,,,1.307,7.28,9.51496,0.116275588,0.116275588,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Crocidura_sicula,,,0.811764706,8.5,6.9,-0.090569835,0.090569835,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Eulipotyphla,Crocidura_suaveolens,,,0.96445553,10.56594299,10.69817003,-0.015717792,0.015717792,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Crocidura_tanakae,Taiwan,,,,10.5,,,,LC,Faurby et al. 2020,,no,
Eulipotyphla,Crocidura_thomensis,,,1.545861664,22.151855,34.24370344,0.189170627,0.189170627,gigantism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Eulipotyphla,Crocidura_trichura,Christmas,Crocidura_attenuata,0.370629371,14.3,5.3,-0.431060168,0.431060168,dwarfism,CR,Faurby et al. 2020,Schulz 2004,yes,
Eulipotyphla,Crocidura_umbra,Java,Crocidura_monticola,1.454761905,4.2,6.11,0.16279192,0.16279192,gigantism,NT,Demos et al. 2017,Demos et al. 2017,yes,
Eulipotyphla,Crocidura_watasei,Amami Oshima: Okinawa ,,,,5.5,,,,LC,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_zimmermanni,Crete,Crocidura_kornfeldi,0.882352941,8.5,7.5,-0.054357662,0.054357662,dwarfism,EN,Faurby et al. 2020,Moncunill-Solé et al 2016c,yes,
Rodentia,Crossomys_moncktoni,New Guinea,,,,165,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Crunomys_melanius,Camiguin: Leyte: Mindanao,,,,61,,,,LC,Van den Hoek Ostende et al. 2017,,yes,
Carnivora,Cryptoprocta_ferox,Madagascar,,,,9500,,,,VU,Faurby et al. 2020,,yes,
Dermoptera,Cynocephalus_volans,,,0.838155693,1250,1047.694616,-0.076675301,0.076675301,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Cynogale_bennettii,,,0.788497791,4466.835922,3522.090258,-0.103199519,0.103199519,dwarfism,EN,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Cynopterus_brachyotis,,,1.03344134,31.8,32.86343462,0.01428583,0.01428583,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Cynopterus_horsfieldii,,,1.318031687,109.7042952,144.5937373,0.119925851,0.119925851,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Cynopterus_luzoniensis,Sulawesi: Philippines,Cynopterus_sphinx,0.800915332,43.7,35,-0.096413393,0.096413393,dwarfism,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,Upham et al. 2019,yes,
Chiroptera,Cynopterus_minutus,Sumatra: Nias: Java: Borneo: Sulawesi,Cynopterus_sphinx,0.590389016,43.7,25.8,-0.228861731,0.228861731,dwarfism,LC,Faurby et al. 2020,Upham et al. 2019,yes,
Chiroptera,Cynopterus_nusatenggara,Bali: Lombok: Moyo: Sumbawa: Sangeang: Komodo: Flores: Sumba: Adonara: Lembata: Pantar: Alor: Timor: Wetar,Cynopterus_sphinx,0.832951945,43.7,36.4,-0.079380053,0.079380053,dwarfism,LC,Faurby et al. 2020,Upham et al. 2019,yes,
Chiroptera,Cynopterus_titthaecheilus,,,1.0645,60.4,64.2958,0.027145666,0.027145666,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Diprotodontia,Dactylonax_palpator,New Guinea,,,,398,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Dactylopsila_megalura,New Guinea,,,,387.5,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Dactylopsila_tatei,Fergusson,Dactylopsila_trivirgata,0.609431681,413.5,252,-0.215074973,0.215074973,dwarfism,EN,Faurby et al. 2020,Wilson & Reeder 2005,yes,
Rodentia,Dasyprocta_coibae,,,0.65,3500,2275,-0.187086643,0.187086643,dwarfism,NT,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Dasyprocta_punctata,,,0.595,3500,2082.5,-0.225483034,0.225483034,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Dasyprocta_ruatanica,Roatán ,Dasyprocta_punctata,0.620523364,2675,1659.9,-0.207241861,0.207241861,dwarfism,EN,Faurby et al. 2020,Lee et al. 2006,yes,
Chiroptera,Dasypterus_insularis,Cuba,Dasypterus_intermedius,1.373913043,23,31.6,0.137959247,0.137959247,gigantism,VU,Faurby et al. 2020,Baird et al. 2017,yes,
Dasyuromorphia,Dasyurus_albopunctatus,New Guinea,,,,637,,,,NT,Faurby et al. 2020,,yes,
Dasyuromorphia,Dasyurus_spartacus,New Guinea,,,,1212.6,,,,NT,Faurby et al. 2020,,yes,
Primates,Daubentonia_madagascariensis,Madagascar,,,,2500,,,,EN,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_dorianus,New Guinea,,,,10068.3,,,,VU,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_goodfellowi,New Guinea,,,,8025,,,,EN,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_inustus,New Guinea,,,,13031.3,,,,VU,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_matschiei,New Guinea,,,,6960,,,,EN,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_mayri,New Guinea,,,,9250,,,,CR,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_mbaiso,New Guinea,,,,8750,,,,EN,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_notatus,New Guinea,,,,6250,,,,EN,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_pulcherrimus,New Guinea,,,,6536.8,,,,CR,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_scottae,New Guinea,,,,10375,,,,CR,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_spadix,New Guinea,,,,9100,,,,VU,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_stellarum,New Guinea,,,,8666.7,,,,VU,Faurby et al. 2020,,yes,
Diprotodontia,Dendrolagus_ursinus,New Guinea,,,,13250,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Dermanura_watsoni,,,1.19,10.9,13,0.075546961,0.075546961,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Desmalopex_leucopterus,Luzon: Catanduanes: Dinagat,,,,380,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Chiroptera,Desmalopex_microleucopterus,Mindoro,,,,143.3,,,,EN,Esselstyn et al. 2008,,yes,
Rodentia,Dicrostonyx_groenlandicus,,,1.24,58.7,72.788,0.093421685,0.093421685,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Didelphimorphia,Didelphis_marsupialis,,,0.86,4500,3870,-0.065501549,0.065501549,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Didelphimorphia,Didelphis_virginiana,,,1.242,2470,3067.74,0.094121596,0.094121596,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Diplogale_hosei,Borneo,Hemigalus_derbyanus,0.559741658,2322.5,1300,-0.25201237,0.25201237,dwarfism,VU,Faurby et al. 2020,Wilting & Fickel 2012,yes,
Rodentia,Diplothrix_legata,Okinawa: Kume: Ie,,,,581,,,,EN,Van den Hoek Ostende et al. 2017,,yes,
Rodentia,Dipodomys_merriami,,,0.895,45,40.275,-0.048176965,0.048176965,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Distoechurus_pennatus,New Guinea,,,,44.1,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Dobsonia_anderseni,Bismarck Archipelago: Admiralty Islands,,,,204.1,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Dobsonia_beauforti,Batanta: Gebe: Salawati: Gag: Waigeo: Biak: Supiori ,,,,159,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Dobsonia_chapmani,,,1.265126228,188.7,238.7293191,0.102133859,0.102133859,gigantism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Dobsonia_crenulata,,,1.287852508,188.7,243.0177682,0.109866128,0.109866128,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Dobsonia_emersa,Numfoor: Biak: Supiori: Owi,,,,195.5,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Dobsonia_exoleta,,,0.448114713,381,170.7317055,-0.348610797,0.348610797,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Dobsonia_inermis,,,0.785683471,188.7,148.258471,-0.104752383,0.104752383,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Dobsonia_minor,New Guinea,,,,78.2,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Dobsonia_moluccensis,,,0.621858056,381,236.9279194,-0.206308735,0.206308735,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Dobsonia_pannietensis,Fergusson: Goodenough: Normanby: Misima: Panaeati: Rossel: Sudest: Kiriwina: Woodlark,,,,267.7,,,,NT,Faurby et al. 2020,,yes,
Chiroptera,Dobsonia_peronii,,,0.394288004,381,150.2237296,-0.404186436,0.404186436,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Dobsonia_praedatrix,Bismarck Archipelago,,,,188.7,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Dobsonia_viridis,,,0.949376952,188.7,179.1474308,-0.022561316,0.022561316,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Diprotodontia,Dorcopsis_atrata,Goodenough,Dorcopsis_luctuosa,0.931438917,6352,5916.5,-0.030845621,0.030845621,dwarfism,CR,Faurby et al. 2020,Van Deusen 1957,yes,
Diprotodontia,Dorcopsis_hageni,New Guinea,,,,5500,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Dorcopsis_luctuosa,New Guinea,,,,6352,,,,VU,Faurby et al. 2020,,yes,
Diprotodontia,Dorcopsis_muelleri,New Guinea: Misool: Salawati: Yapen,,,,5500,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Dorcopsulus_macleayi,New Guinea,,,,2988,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Dorcopsulus_vanheurni,New Guinea,,,,1785.8,,,,NT,Faurby et al. 2020,,yes,
Rodentia,Dremomys_everetti,Borneo,Sundasciurus_hippurus,0.363032242,406.3,147.5,-0.440054802,0.440054802,dwarfism,LC,Faurby et al. 2020,Hawkins et al. 2016,yes,
Microbiotheria,Dromiciops_gliroides,,,0.91393022,30.59736842,27.96385965,-0.039086962,0.039086962,dwarfism,NT,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Dyacopterus_brooksi,Sumatra: Borneo,,,,88.5,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Dyacopterus_spadiceus,,,1.026010274,77.62471166,79.64375167,0.01115171,0.01115171,gigantism,NT,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Dymecodon_pilirostris,Honshu: Shikoku: Kyushu,,,,16.2,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Echinops_telfairi,Madagascar,,,,180,,,,LC,Faurby et al. 2020,,yes,
Eulipotyphla,Echinosorex_gymnura,,,1.024505598,818,838.045579,0.010514336,0.010514336,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Echiothrix_centrosa,Sulawesi,,,,260.9,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Echiothrix_leucura,Sulawesi,,,,267.3,,,,EN,Faurby et al. 2020,,yes,
Peramelemorphia,Echymipera_clara,New Guinea,,,,1236.5,,,,LC,Faurby et al. 2020,,yes,
Peramelemorphia,Echymipera_davidi,Kiriwina,Echymipera_clara,0.768297614,1236.5,950,-0.114470515,0.114470515,dwarfism,EN,Faurby et al. 2020,Upham et al. 2019,yes,
Peramelemorphia,Echymipera_kalubu,New Guinea: Bismarck Archipelago: Misool: Salawati: Batanta: Waisai: Waigeo: Gam: Yapen: Biak: Supiori,,,,782.2,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Eidolon_dupreanum,Madagascar,,,,283.8,,,,VU,Faurby et al. 2020,,yes,
Carnivora,Eira_barbara,,,0.836,4140,3461.04,-0.077793723,0.077793723,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Proboscidea,Elephas_maximus,,,0.682563408,2691534.804,1837143.169,-0.165856998,0.165856998,dwarfism,EN,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Eliurus_carletoni,Madagascar,,,,80.2,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Eliurus_danieli,Madagascar,,,,95.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Eliurus_grandidieri,Madagascar,,,,51,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Eliurus_majori,Madagascar,,,,100,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Eliurus_minor,Madagascar,,,,35,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Eliurus_myoxinus,Madagascar,,,,62.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Eliurus_penicillatus,Madagascar,,,,100,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Eliurus_petteri,Madagascar,,,,75,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Eliurus_tanala,Madagascar,,,,82.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Eliurus_webbi,Madagascar,,,,72.5,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Emballonura_alecto,Borneo: Philippines: Sulawesi: Sula Islands: Seram: Tanimbar Islands: Aru Islands,Emballonura_monticola,0.929824561,5.7,5.3,-0.031598986,0.031598986,dwarfism,LC,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Emballonura_beccarii,Kai: Yapen: Biak: New Guinea: New Ireland: Bougainville: Woodlark: Kiriwina: Alcester,,,,4.2,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Emballonura_dianae,New Guinea: Solomon Islands,,,,8,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Emballonura_furax,New Guinea,,,,11.2,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Emballonura_monticola,,,1.04,5.35,5.564,0.017033339,0.017033339,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Emballonura_raffrayana,Halmahera: Ambon: Seram: Gebe: Yapen: Biak: Numfor: Supiori: New Guinea: New Ireland: Lihir: Tabar: Bougainville: Buka: Guadalcanal: Malaita: New Georgia: Santa Isabel,,,,5.6,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Emballonura_semicaudata,Samoa Islands: American Samoa Islands: Fiji Islands: Palau: Tonga Islands: Aguijan: Chuuk Islands: Pohnpei: Palau,Emballonura_alecto,1.188679245,5.3,6.3,0.07506468,0.07506468,gigantism,EN,Faurby et al. 2020,Ruedi et al. 2012,yes,
Chiroptera,Emballonura_serii,Manus: Los Negros: Mussau: New Ireland: Yapen,Emballonura_beccarii,2.095238095,4.2,8.8,0.321233382,0.321233382,gigantism,VU,Faurby et al. 2020,Ruedi et al. 2012,yes,
Chiroptera,Eonycteris_robusta,Biliran: Bohol: Catanduanes: Leyte: Lubang: Luzon: Marinduque: Maripipi: Mindanao: Negros: Polillo: Samar: Siargo,Eonycteris_spelaea,1.333907057,58.1,77.5,0.12512557,0.12512557,gigantism,NT,Faurby et al. 2020,Almeida et al. 2020,yes,
Chiroptera,Eonycteris_spelaea,,,0.9775,58.7,57.37925,-0.009883234,0.009883234,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Episoriculus_fumidus,Taiwan,Chodsigoa_parca,0.603603604,11.1,6.7,-0.219248176,0.219248176,dwarfism,LC,Faurby et al. 2020,He et al. 2010,yes,
Chiroptera,Eptesicus_guadeloupensis,Basse-Terre,Eptesicus_fuscus,0.948571429,17.5,16.6,-0.022929961,0.022929961,dwarfism,EN,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Eptesicus_japonensis,Honshu,Eptesicus_nilssonii,0.971153846,10.4,10.1,-0.012711966,0.012711966,dwarfism,VU,Faurby et al. 2020,Rydell 1993,yes,
Chiroptera,Eptesicus_serotinus,,,1.0505,23.1,24.26655,0.021396057,0.021396057,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Erinaceus_europaeus,,,0.895,750,671.25,-0.048176965,0.048176965,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Erinaceus_roumanicus,,,0.789272901,800,652,-0.102772808,0.102772808,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Eropeplus_canus,Sulawesi,,,,235,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Erophylla_bombifrons,Hispaniola: Puerto Rico,,,,14.3,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Erophylla_sezekorni,Cuba: Jamaica: Bahamas Islands: Cayman Islands,,,,15.8,,,,LC,Faurby et al. 2020,,yes,
Primates,Eulemur_albifrons,Madagascar,,,,2300,,,,VU,Faurby et al. 2020,,yes,
Primates,Eulemur_cinereiceps,Madagascar,,,,1920,,,,CR,Faurby et al. 2020,,yes,
Primates,Eulemur_collaris,Madagascar,,,,2375,,,,EN,Faurby et al. 2020,,yes,
Primates,Eulemur_coronatus,Madagascar,,,,1650,,,,EN,Faurby et al. 2020,,yes,
Primates,Eulemur_flavifrons,Madagascar,,,,1850,,,,CR,Faurby et al. 2020,,yes,
Primates,Eulemur_fulvus,,,1.032,2390,2466.48,0.013679697,0.013679697,gigantism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Eulemur_macaco,Madagascar,,,,1900,,,,EN,Faurby et al. 2020,,yes,
Primates,Eulemur_mongoz,,,1.046,1770,1851.42,0.019531685,0.019531685,gigantism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Eulemur_rubriventer,Madagascar,,,,2000,,,,VU,Faurby et al. 2020,,yes,
Primates,Eulemur_rufifrons,Madagascar,,,,1820,,,,VU,Faurby et al. 2020,,yes,
Primates,Eulemur_rufus,Madagascar,,,,2375,,,,VU,Faurby et al. 2020,,yes,
Primates,Eulemur_sanfordi,Madagascar,,,,2250,,,,EN,Faurby et al. 2020,,yes,
Primates,Euoticus_pallidus_pallidus,,,1.241787122,253.6666667,315,0.094047152,0.094047152,gigantism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Eupleres_goudotii,Madagascar,,,,3000,,,,VU,Faurby et al. 2020,,yes,
Carnivora,Eupleres_major,Madagascar,,,,2712.1,,,,EN,Faurby et al. 2020,,yes,
Eulipotyphla,Euroscaptor_mizura,Honshu,,,,35.5,,,,LC,Faurby et al. 2020,Kawada 2016,yes,
Rodentia,Exilisciurus_concinnus,,,1.594710672,15,23.92066008,0.202681901,0.202681901,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Exilisciurus_whiteheadi,Borneo,,,,20,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Felis_silvestris,,,0.926859375,5011.872336,4645.300861,-0.032986153,0.032986153,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Fossa_fossana,Madagascar,,,,1500,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Funambulus_layardi,Sri Lanka,Funambulus_sublineatus,2.369534556,70.9,168,0.374663047,0.374663047,gigantism,VU,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Primates,Galagoides_demidovii,,,1.279813411,67,85.74749854,0.107146657,0.107146657,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Dermoptera,Galeopterus_variegatus,,,0.8415,1110,934.065,-0.07494588,0.07494588,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Galerella_sanguinea,,,0.715,517,369.655,-0.145693958,0.145693958,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Galidia_elegans,Madagascar,,,,800,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Galidictis_fasciata,Madagascar,,,,550,,,,VU,Faurby et al. 2020,,yes,
Carnivora,Galidictis_grandidieri,Madagascar,,,,1400,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Geocapromys_brownii,Jamaica,mean_body_mass_of_South_American_echimyids,4.6875,320,1500,0.670941281,0.670941281,gigantism,EN,Faurby et al. 2020,Woods et al. 2021,yes,
Rodentia,Geocapromys_ingrahami,East Plana Keys,mean_body_mass_of_South_American_echimyids,2.22,320,710,0.346352974,0.346352974,gigantism,VU,Turvey et al. 2021,Woods et al. 2021,yes,
Afrosoricida,Geogale_aurita,Madagascar,,,,7,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Glaucomys_sabrinus,,,0.98,100,98,-0.008773924,0.008773924,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Glirulus_japonicus,Honshu: Shikoku: Kyushu: Dogo,,,,27,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Gulo_gulo,,,0.967,12800,12377.6,-0.014573526,0.014573526,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Gymnuromys_roberti,Madagascar,,,,97.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Haeromys_minahassae,Sulawesi,,,,14.7,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Haeromys_pusillus,Borneo: Palawan: Calawit,,,,10.4,,,,VU,Faurby et al. 2020,,yes,
Primates,Hapalemur_alaotrensis,Madagascar,,,,1240,,,,CR,Faurby et al. 2020,,yes,
Primates,Hapalemur_aureus,Madagascar,,,,1450,,,,CR,Faurby et al. 2020,,yes,
Primates,Hapalemur_griseus,Madagascar,,,,900,,,,VU,Faurby et al. 2020,,yes,
Primates,Hapalemur_meridionalis,Madagascar,,,,900,,,,VU,Faurby et al. 2020,,yes,
Primates,Hapalemur_occidentalis,Madagascar,,,,850,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Haplonycteris_fischeri,Biliran: Bohol: Catanduanes: Cebu: Dinagat: Leyte: Luzon: Marinduque: Mindanao: Mindoro: Negros: Panay: Palaui: Samar,,,,20,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Chiroptera,Harpiola_isodon,Taiwan,Harpiola_grisea,1.142857143,5.6,6.4,0.057991947,0.057991947,gigantism,LC,Faurby et al. 2020,Kuo et al. 2006,yes,
Chiroptera,Harpyionycteris_celebensis,Sulawesi: Buton,,,,104,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Harpyionycteris_whiteheadi,Biliran: Camiguin: Cebu: Leyte: Luzon: Maripipi: Masbate: Mindanao: Mindoro: Negros: Samar,Harpyionycteris_celebensis,1.153846154,104,120,0.062147907,0.062147907,gigantism,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,Giannini et al. 2006,yes,
Carnivora,Helarctos_malayanus,,,0.54887543,45708.81896,25088.44767,-0.26052621,0.26052621,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Afrosoricida,Hemicentetes_nigriceps,Madagascar,,,,113,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Hemicentetes_semispinosus,Madagascar,,,,137.8,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Hemigalus_derbyanus,,,0.862252746,1270,1095.060988,-0.064365414,0.064365414,dwarfism,NT,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Hipposideros_calcaratus,"Yapen: New Guinea: Bismarck Archipelago: Trobriand Islands: D'Entrecasteaux: Louisade Archipelago, Bougainville: Solomon Islands",,,,11.4,,,,LC,Faurby et al. 2020,,yes,
